Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-12 09:30:00-04:00,33.86989974975586,33.86989974975586,33.2599983215332,33.4900016784668,1061813,0.0,0.0
2025-05-12 10:00:00-04:00,33.4900016784668,33.494998931884766,33.150001525878906,33.209999084472656,1267042,0.0,0.0
2025-05-12 10:30:00-04:00,33.20500183105469,33.31999969482422,33.154998779296875,33.23500061035156,350952,0.0,0.0
2025-05-12 11:00:00-04:00,33.22999954223633,33.27000045776367,33.17499923706055,33.25,381532,0.0,0.0
2025-05-12 11:30:00-04:00,33.255001068115234,33.31999969482422,33.185001373291016,33.185001373291016,333264,0.0,0.0
2025-05-12 12:00:00-04:00,33.189998626708984,33.279998779296875,33.15999984741211,33.255001068115234,305413,0.0,0.0
2025-05-12 12:30:00-04:00,33.255001068115234,33.314998626708984,33.20000076293945,33.29499816894531,341244,0.0,0.0
2025-05-12 13:00:00-04:00,33.29999923706055,33.33000183105469,33.20500183105469,33.220001220703125,370912,0.0,0.0
2025-05-12 13:30:00-04:00,33.224998474121094,33.29499816894531,33.189998626708984,33.275001525878906,487663,0.0,0.0
2025-05-12 14:00:00-04:00,33.279998779296875,33.375,33.26499938964844,33.27000045776367,281719,0.0,0.0
2025-05-12 14:30:00-04:00,33.275001525878906,33.3650016784668,33.275001525878906,33.345001220703125,270325,0.0,0.0
2025-05-12 15:00:00-04:00,33.345001220703125,33.39500045776367,33.29999923706055,33.369998931884766,463829,0.0,0.0
2025-05-12 15:30:00-04:00,33.375,33.5099983215332,33.349998474121094,33.5,1880498,0.0,0.0
2025-05-13 09:30:00-04:00,33.529998779296875,33.7599983215332,33.41999816894531,33.47999954223633,1601437,0.0,0.0
2025-05-13 10:00:00-04:00,33.47999954223633,33.75,33.470001220703125,33.709999084472656,733002,0.0,0.0
2025-05-13 10:30:00-04:00,33.720001220703125,33.73500061035156,33.51499938964844,33.51499938964844,808598,0.0,0.0
2025-05-13 11:00:00-04:00,33.51499938964844,33.55500030517578,33.3650016784668,33.5099983215332,623656,0.0,0.0
2025-05-13 11:30:00-04:00,33.5099983215332,33.56999969482422,33.39500045776367,33.44499969482422,344559,0.0,0.0
2025-05-13 12:00:00-04:00,33.44499969482422,33.474998474121094,33.310001373291016,33.35499954223633,438280,0.0,0.0
2025-05-13 12:30:00-04:00,33.349998474121094,33.42499923706055,33.22999954223633,33.30500030517578,439156,0.0,0.0
2025-05-13 13:00:00-04:00,33.310001373291016,33.349998474121094,33.23500061035156,33.310001373291016,263577,0.0,0.0
2025-05-13 13:30:00-04:00,33.314998626708984,33.3849983215332,33.25,33.30500030517578,527162,0.0,0.0
2025-05-13 14:00:00-04:00,33.310001373291016,33.349998474121094,33.202301025390625,33.202301025390625,684665,0.0,0.0
2025-05-13 14:30:00-04:00,33.20500183105469,33.255001068115234,33.151100158691406,33.2400016784668,498769,0.0,0.0
2025-05-13 15:00:00-04:00,33.23500061035156,33.244998931884766,33.17499923706055,33.19499969482422,308201,0.0,0.0
2025-05-13 15:30:00-04:00,33.19499969482422,33.255001068115234,33.060001373291016,33.09000015258789,1451917,0.0,0.0
2025-05-14 09:30:00-04:00,33.0,33.0099983215332,32.625,32.79499816894531,872547,0.0,0.0
2025-05-14 10:00:00-04:00,32.79990005493164,32.810001373291016,32.505001068115234,32.60499954223633,891013,0.0,0.0
2025-05-14 10:30:00-04:00,32.60499954223633,32.63999938964844,32.459999084472656,32.505001068115234,558078,0.0,0.0
2025-05-14 11:00:00-04:00,32.5,32.56999969482422,32.42499923706055,32.54999923706055,598562,0.0,0.0
2025-05-14 11:30:00-04:00,32.54499816894531,32.66999816894531,32.54499816894531,32.64500045776367,515416,0.0,0.0
2025-05-14 12:00:00-04:00,32.650001525878906,32.685001373291016,32.61000061035156,32.6150016784668,270485,0.0,0.0
2025-05-14 12:30:00-04:00,32.61000061035156,32.64630126953125,32.56999969482422,32.6349983215332,323621,0.0,0.0
2025-05-14 13:00:00-04:00,32.630001068115234,32.689998626708984,32.58000183105469,32.654998779296875,507273,0.0,0.0
2025-05-14 13:30:00-04:00,32.65999984741211,32.77000045776367,32.64500045776367,32.66419982910156,426785,0.0,0.0
2025-05-14 14:00:00-04:00,32.665000915527344,32.79999923706055,32.665000915527344,32.79999923706055,358703,0.0,0.0
2025-05-14 14:30:00-04:00,32.79499816894531,32.88999938964844,32.790000915527344,32.83000183105469,407710,0.0,0.0
